139,Pixels,Pixels Game,sudo snap install pixels-game--beta,games
140,BZFlag,A 3D first person tank battle game,sudo snap install bzflag,games
141,Mari0 (UNOFFICIAL),Mario + Portal platformer,sudo snap install mari0,games
142,glest,Glest,sudo snap install glest--edge,games
143,den,A multiplayer game for your terminal,sudo snap install den,games
144,GNOME 2048,Obtain the 2048 tile,sudo snap install gnome-2048,games
145,teeworlds,A retro multiplayer shooter,sudo snap install teeworlds-unofficial,games
146,wyvern,CLI GOG downloader client,sudo snap install wyvern--beta,games
147,Cave Story | NXEngine Evo,Doukutsu Monogatari - Classic side-scrolling platformer game,sudo snap install cavestory,games
148,CRRCSim,Model airplane flight simulator,sudo snap install crrcsim-simulator,games
149,Open Syobon Action (オープンしょぼんのアクション),An open-source cross-platform port of the unforgiving Japanese platformer,sudo snap install open-syobon-action,games
150,Lightsoff,Turn off all the lights,sudo snap install lightsoff,games
151,Foobillard-plus,Billard game simulator,sudo snap install foobillard-plus,games
152,GNOME Tetravex,Reorder tiles to fit a square,sudo snap install gnome-tetravex,games
153,roll,A python dice rolling application using standard dice notation,sudo snap install roll,games
154,Caprice32 Amstrad CPC emulator,Amstrad CPC emulator,sudo snap install caprice32,games
155,Solvitaire,solitaire (klondike & spider) in your terminal,sudo snap install solvitaire,games
156,mki3dgame-snap,A game of finding tokens in 3D stages among the flying monsters.,sudo snap install mki3dgame-snap,games
157,discord-bartixxx,Free voice and text chat,sudo snap install discord-bartixxx,games
158,CCLite,A ComputerCraft Emulator,sudo snap install cclite,games
159,The Traveling Fox,Simple FOSS 3D Platformer,sudo snap install the-traveling-fox,games
160,Snipes,Snipes,sudo snap install snipes,games
161,freeorion-agrrr3,turn-based space empire and galactic conquest (4X) computer game,sudo snap install freeorion-agrrr3,games
162,bzflag-tjhanson,Free 3D online multi-player multi-platform tank battle game.,sudo snap install bzflag-tjhanson,games
163,GNOME Robots,Avoid the robots and make them crash into each other,sudo snap install gnome-robots,games
164,love,Free 2D Game Engine,sudo snap install love,games
165,citra-mts,Nintendo 3DS Emulator,sudo snap install citra-mts--edge,games
166,Morpion,Morpion,sudo snap install morpion,games
167,xbill,Get rid of those Wingdows Viruses!,sudo snap install xbill-xaw,games
168,Neverbore Picross,A picture logic puzzle game,sudo snap install neverbore,games
169,Mari0: CE (UNOFFICIAL),A community-driven effort to fix and polish the latest version of Mari0:SE,sudo snap install mari0-ce,games
170,Ion Digital Currency (Official release),gaming related peer-to-peer network based digital currency,sudo snap install ioncore,games
171,Dwarf Fortress Classic,Dwarf Fortress world simulator.,sudo snap install dwarffortress,games
172,squarehead,SquareHead classic game,sudo snap install squarehead,games
173,Open Karaoke Producer,Open Karaoke Producer,sudo snap install open-karaoke-producer,games
174,Five or More,Remove colored balls from the board by forming lines,sudo snap install five-or-more,games
175,Minetest 0.4 (unofficial fork),minetest-luk3yx-4: A Minetest 0.4 fork.,sudo snap install minetest-luk3yx-4,games
176,OS RuneScape Launcher,Old School RuneScape launcher,sudo snap install os-runes,games
177,OpenTyrian,An arcade-style shoot 'em up,sudo snap install opentyrian,games
178,cataclysm,Post-apocalyptic survival roguelike,sudo snap install cataclysm,games
